Tipo;Local;Resp.;Linha;Estacionamento;nº de vagas;Identificador
Paraciclo;Estação Parada Inglesa;Metrô;Linha 1- Azul;sim;16;1
Paraciclo;Estação Jardim São Paulo;Metrô;Linha 1- Azul;sim;16;2
Bicicletário;Estação Liberdade*;Metrô;Linha 1- Azul;sim;10;3
Bicicletário;Estação Paraíso*;Metrô;Linha 1- Azul;sim;10;4
Bicicletário;Estação Vila Madalena*;Metrô;Linha 2- Verde;sim;10;5
Bicicletário;Estação Tamanduateí;Metrô;Linha 2- Verde;sim;10;6
Paraciclo;Estação Tamanduateí;Metrô;Linha 2- Verde;sim;16;7
Paraciclo;Estação Vila Prudente;Metrô;Linha 2- Verde;sim;16;8
Bicicletário;Estação Corinthians - Itaquera*;Metrô;Linha 3- Vermelha;sim;10;9
Paraciclo;Estação Artur Alvim;Metrô;Linha 3- Vermelha;sim;16;10
Bicicletário;Estação Guilhermina Esperança*;Metrô;Linha 3- Vermelha;sim;10;11
Paraciclo;Estação Vila Matilde;Metrô;Linha 3- Vermelha;sim;16;12
Paraciclo;Estação Penha;Metrô;Linha 3- Vermelha;sim;16;13
Bicicletário;Estação Carrão*;Metrô;Linha 3- Vermelha;sim;10;14
Paraciclo;Estação Belém;Metrô;Linha 3- Vermelha;sim;16;15
Bicicletário;Estação Brás*;Metrô;Linha 3- Vermelha;sim;10;16
Bicicletário;Estação Sé*;Metrô;Linha 3- Vermelha;sim;10;17
Bicicletário;Estação Santa Cecília*;Metrô;Linha 3- Vermelha;sim;10;19
Paraciclo;Estação Palmeiras- Barra Funda;Metrô;Linha 3- Vermelha;sim;16;20
Bicicletário;Estação Butantã*;Via 4;Linha 4- Amarela;sim;108;21
Bicicletário;Estação Pinheiros*;Via 4;Linha 4- Amarela;sim;80;22
Paraciclo;Estação Capão Redondo;Metrô;Linha 5- Lilas;sim;16;23
Paraciclo;Estação Campo Limpo;Metrô;Linha 5- Lilas;sim;16;24
Paraciclo;Estação Vila das Belezas;Metrô;Linha 5- Lilas;sim;16;25
Bicicletário;Estação Ceasa;CPTM;Linha 9-Esmeralda;sim;144;26
Bicicletário;Estação Villa Lobos- Jaguaré;CPTM;Linha 9-Esmeralda;sim;233;27
Bicicletário;Estação Cidade Universitária;CPTM;Linha 9-Esmeralda;sim;60;28
Bicicletário;Estação Vila Olímpia;CPTM;Linha 9-Esmeralda;sim;94;29
Bicicletário;Estação Autódromo;CPTM;Linha 9-Esmeralda;sim;261;30
Bicicletário;Estação Jurubatuba;CPTM;Linha 9-Esmeralda;sim;262;31
Bicicletário;Estação Primavera- Interlagos;CPTM;Linha 9-Esmeralda;sim;226;32
Bicicletário;Estação Grajaú;CPTM;Linha 9-Esmeralda;sim;178;33
Bicicletário;Estação Tamanduateí;CPTM;Linha 10- Turquesa;sim;164;34
Bicicletário;Estação Comendador Ermelino;CPTM;Linha 12- Safira;sim;196;35
Bicicletário;Estação Itaim Paulista;CPTM;Linha 12- Safira;sim;256;36
Bicicletário;Estação Jardim Helena-Vila Mara;CPTM;Linha 12- Safira;sim;256;37
Paraciclo;Estação São Miguel Paulista;CPTM;Linha 12- Safira;sim;33;38
Bicicletário;Estação Jardim Romano;CPTM;Linha 12- Safira;sim;240;39
Bicicletário;Estação USP Leste;CPTM;Linha 12- Safira;sim;270;40
Bicicletário;Terminal Jabaquara;EMTU;;sim;225;41
Bicicletário;Terminal São Mateus;EMTU;;sim;110;42
Bicicletário;Terminal Guarapiranga;SPTrans;;sim;7;43
Bicicletário;Terminal Vl. Nova Cachoeirinha;SPTrans;;sim;25;44
Bicicletário;Terminal Pirituba;SPTrans;;sim;21;45
Bicicletário;Terminal Campo Limpo;SPTrans;;sim;50;46
Bicicletário;Terminal Varginha;SPTrans;;sim;14;47
Bicicletário;Terminal Mercado;SPTrans;;sim;72;48
Bicicletário;Terminal Sacomã;SPTrans;;sim;146;49
Bicicletário;Terminal Sapopemba- Teotônio;SPTrans;;sim;42;50
Bicicletário;Parada Pedro II;SPTrans;;sim;94;51
Bicicletário;Parada Ana Nery;SPTrans;;sim;90;52
Bicicletário;Parada Alberto Lion;SPTrans;;sim;28;53
Bicicletário;Parada Clube Atlético Ipiranga;SPTrans;;sim;66;54
Bicicletário;Parada Nsra Aparecida;SPTrans;;sim;46;55
Bicicletário;Parada R. do Grito;SPTrans;;sim;86;56
Bicicletário;Terminal Pinheiros;SPTrans;;sim;30;57
