Ciclofaixa Operacional de Lazer;Regiao;Resp./Implant.;Implantação/Inauguração;Extensão Total (km)
Ciclofaixa de Lazer - Zona Norte -  (2 sentidos) da Praça Heróis da F.E.B. ao SESC Santana, acesso também ao Parque da Juventude.;Zona Norte;CET;mar-12;6.00
Extensão Ciclofaixa de lazer Zona Norte -  (2 sentidos) até a estação Parada Inglesa do Metrô;Zona Norte;CET;abr-12;2.00
Ciclofaixa de Lazer (Trecho de interligação entre Ciclofaixa Zona Norte e Ciclovia Braz Leme);Zona Norte;CET;out-12;0.50
Ciclofaixa de Lazer - Parques da Bicicletas / Parque Ibirapuera / Parque do Povo -  (2 sentidos);Entre Parques Sul/Oeste;CET;ago-09;10.00
Ciclofaixa de Lazer - Parque do Povo / Parque Villa Lobos -  (2 sentidos) ;Entre Parques Sul/Oeste;CET;jan-11;20.00
Ciclofaixa de Lazer - Parque do Povo ao futuro Parque do Chuvisco na Av Roberto Marinho -  (2 sentidos);Entre Parques Sul/Oeste;CET;mai-11;15.00
Ciclofaixa de Lazer - Av. Guarapiranga (com conexão à Ciclovia CPTM - Rio Pinheiros) - (2 sentidos);Guarapiranga;CET;dez-12;11.20
Ciclofaixa de Lazer - Leste Parque Linear Engº Werner Zulauf – Tiquatira - (2 sentidos);Zona Leste;CET;mar-12;14.00
Ciclofaixa de Lazer -  Av. Paulista entre Pça. Osvaldo Cruz e R. Consolação - (2 sentidos);Paulista-Centro- Ibirapuera;CET;set-12;5.00
Ciclofaixa de Lazer - R. Vergueiro/Liberdade -  (2 sentidos);Paulista-Centro- Ibirapuera;CET;set-12;7.00
Ciclofaixa de Lazer Centro (unidirecional);Paulista-Centro- Ibirapuera;CET;set-12;3.10
Ciclofaixa de Lazer (trecho de extensão - Pça Dom José Gaspar);Paulista-Centro- Ibirapuera;CET;out-12;0.30
Ciclofaixa de Lazer - estendida da Pça Dom José Gaspar até Pça Roosevelt ;Paulista-Centro- Ibirapuera;CET;out-12;2.00
Ciclofaixa de Lazer - estendida da Pça Roosevelt até elevado Costa e Silva ;Paulista-Centro- Ibirapuera;CET;nov/12;0.50
Ciclofaixa de Lazer - estendida do Teatro Municipal ao Bairro da Luz (alteração de trajeto  em 12/05/13- impactou em aumento da extensão 0,70km);Paulista-Centro- Ibirapuera;CET;nov/12;5.20
Ciclofaixa de Lazer Ligação Paulista/ Domingos de Morais/ Indianópolis - Pq. das Bicicletas -  (2 sentidos);Paulista-Centro- Ibirapuera;CET;nov/12;19.00
