razao_social;cnpj;endereco;cep;bairro;cidade;uf;telefone;fax
AGRÍCOLA  E CONSTRUTORA MONTE AZUL LTDA.;61.026.233/0001-58;RUA QUATÁ, Nº 845 SALA 04;04546-044;VILA OLIMPIA;SÃO PAULO;SP;( 011) 3845-1522  ramal 229;( 011) 3846 - 6121
ARC COMÉRCIO, CONSTRUÇÃO E ADMINISTRAÇÃO DE SERVIÇOS LTDA;01.565.706/0001-63;RUA JULIO DE CASTILHO, 217;03059-001;BELENZINHO;SÃO PAULO;SP;(11) 2796-4009 ramal 225;(11) 2796-4009
CONSTRUTORA LETTIERI CORDARO LTDA.;07.879.965/0001-45;RUA IRMÃ URSULA, 111;03174-010;QUARTA PARADA;SÃO PAULO;SP;11-2606-0045 / 2296-0851;11-2606-0045
CONSTRUTORA SIMIONI VIESTI LTDA.;49.154.396/0001-10;RUA CONSELHEIRO BROTERO, 1086 - SALA 61/71;01232-010;SANTA CECÍLIA;SÃO PAULO;SP;(11) 3729-8491;(11) 3729-8491
FM RODRIGUES & CIA LTDA;48.893.226/0001-95;Av. Nove de Julho, 1200 1°ANDAR sala 2;08550-000;CENTRO;Poá;SP;(011) 2903-9000;(011) 2730-6171
IN ENGENHARIA  E SINALIZAÇÃO LTDA;03.104.108/0001-12;RUA  LEOCADIA CINTRA, 203 ;03112-040;MOOCA;SÃO PAULO;SP;(011) 2272-0199  /  (011) 2272-0198;NULL
INFRAVIAS CONSTRUÇÕES E SERVIÇOS LTDA.;10.313.759/0001-88;RUA AGNALDO MANUEL DOS SANTOS, Nº 166;04116-250;VILA MARIANA;SÃO PAULO;SP;(11) 5571-3000    (11) 5549-7000;(11) 5571-3000
LOGICTEL S/A;03.430.070/0001-78;RUA DA BICA, 234;02925-000;FREGUESIA DO Ó;SAO PAULO;SP;(11) 3933-7950 / 7906;(11) 3933-7952
MENG ENGENHARIA COMÉRCIO E INDÚSTRIA LTDA;49.670.524/0001-89;Rua Taguá, 206/208;01508-010;Liberdade;SÃO PAULO;SP;( 011) 3385-5600;( 011) 3208-2958
PORTAL SINALIZAÇÃO VIÁRIA LTDA;04.757.242/0001-85;RUA PAOLO MARTORELLI, 65;09520-250;BAIRRO FUNDAÇÃO;SÃO CAETANO DO SUL;SP;(11) 4221-9277;(11) 4221-9277
POTTMA PROJETOS E OBRAS DE TRANSPORTE E TRÁFEGO LTDA;63.948.251/0001-12;Alameda TIBIRIÇÁ, 695;07600-000;VILA IPANEMA;MAIRIPORÃ;SP;( 011) 4419-1137;( 011) 4419-1137
PRÓ SINALIZAÇÃO SISTEMAS LTDA.;15.154.444/0001-59;RUA AMÉRICA CENTRAL, 289 - 1º ANDAR;04755-010;SANTO AMARO ;SÃO PAULO;SP;(11) 5093-8522  /  (11) 5549-7000 / (11) 99817-3391;(11) 5093-8522
SINALRONDA SINALIZAÇÃO VIÁRIA E SERVIÇOS LTDA;74.392.408/0001-92;RUA PIRAMBOIA, 1136;09185-410;JARDIM STELLA;Santo André;SP;( 11) 4422-7100;( 11) 4422-7100
VISUAL SINALIZAÇÃO VIÁRIA E CONSTRUÇÕES LTDA;00.018.675/0001-68;RUA SEBASTIÃO LOPES, 59;07176-520;CID. NOVA BONSUCESSO;GUARULHOS;SP;(11) 2955-9340;(11) 2955-9340
